PREFIXO: ;E3-003
NOME DO POSTO: ;AGUA BRANCA
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;TIETE,R
LATITUDE: ;23°30'57"
LONGITUDE: ;46°40'51"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  07/1937;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1937;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 68,2;  7,0;  0,0;  0,0;  0,0;6,5;0,0;0,0;68,2;81,7
  10/1937;  3,3;  3,5;  0,0;  2,2; 20,5;  0,0;  6,6;  4,6; 34,5;  0,0;  0,0;  6,8;  2,3;  0,0; 24,0; 30,0;  3,9;  0,0; 11,5; 40,2;  0,0;  0,0;  0,0;  0,0;  0,0;  4,7;  4,3;  0,0;0,0;0,0;0,0;40,2;202,9
  11/1937;  2,4; 16,7;  0,0;  1,2;  0,0;  0,0; 18,4;  9,6; 32,0;  0,0;  0,0;  1,2;  0,0;  0,0;  0,0; 25,8; 48,0; 10,0;  9,4;  5,2;  0,0;  0,0;  0,0; 25,7;  5,3;  1,2;  0,0;  0,0;0,0;0,0;---;48,0;212,1
  12/1937;  0,0;  0,5;  6,9;  1,0;  0,5;  0,5;  9,0;  5,8;  0,0; 35,4;  3,7;  0,5;  0,0;  1,8;  0,0;  0,0; 13,5;120,5;  0,0;  0,0;  0,0;  0,0;  9,3;  0,0;  0,0;  0,3;  2,6;  0,6;0,0;4,8;0,0;120,5;217,2
  01/1938;  0,0;  0,0;  1,0; 15,0; 30,5;  6,3;  0,0;  0,3; 29,6;  0,0;  0,0;  0,0;  2,0; 17,0; 55,5; 27,0;  0,0;  1,6;  0,0;  9,5;  0,0;  1,6;  0,0;  5,8;  0,0; 22,1;  2,5;  0,0;0,0;0,0;0,0;55,5;227,3
  02/1938;  0,0;  2,5;  0,0;  0,0;  1,5; 29,5;  0,0;  0,0;  0,0; 24,4;  0,5;  0,0;  0,0;  5,0;  3,5;  2,7;  3,2;  5,5; 10,7;  0,0;  0,0;  3,0; 25,2;  0,0;  0,5;  0,0;  0,0;  0,0;---;---;---;29,5;117,7
  03/1938;  0,0; 11,6;  0,0;  0,0;  0,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,0;  0,0;  0,0;  0,3;  0,2; 26,0;  0,0;  0,0; 58,5; 36,2; 11,0;  1,0;  0,0;  0,0;0,0;0,0;1,0;58,5;158,5
  04/1938; 45,5; 13,7;  0,0;  0,0; 17,8;  0,5;  4,0;  0,0;  0,3;  0,5;  8,3;  0,0;  0,0;  0,0;  0,7;  0,0;  0,0;  0,0; 10,7;  0,9;  5,5; 14,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;22,5;---;45,5;144,9
  05/1938;  0,0;  1,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0;  0,0; 21,8;  0,0;  0,0; 13,4;  1,0;  0,0; 19,5;  0,0; 18,5;  2,2;  0,0;  0,0;  0,0; 20,1;  0,0;0,0;0,0;0,0;21,8;99,8
